Left boundary,Right boundary,S/(B+S)
-999.0,-977.08974,0.519313831019
-977.08974,-955.17948,0.0
-955.17948,-933.26922,0.0
-933.26922,-911.35896,0.0
-911.35896,-889.4487,0.0
-889.4487,-867.53844,0.0
-867.53844,-845.62818,0.0
-845.62818,-823.71792,0.0
-823.71792,-801.80766,0.0
-801.80766,-779.8974,0.0
-779.8974,-757.98714,0.0
-757.98714,-736.07688,0.0
-736.07688,-714.16662,0.0
-714.16662,-692.25636,0.0
-692.25636,-670.3461,0.0
-670.3461,-648.43584,0.0
-648.43584,-626.52558,0.0
-626.52558,-604.61532,0.0
-604.61532,-582.70506,0.0
-582.70506,-560.7948,0.0
-560.7948,-538.88454,0.0
-538.88454,-516.97428,0.0
-516.97428,-495.06402,0.0
-495.06402,-473.15376,0.0
-473.15376,-451.2435,0.0
-451.2435,-429.33324,0.0
-429.33324,-407.42298,0.0
-407.42298,-385.51272,0.0
-385.51272,-363.60246,0.0
-363.60246,-341.6922,0.0
-341.6922,-319.78194,0.0
-319.78194,-297.87168,0.0
-297.87168,-275.96142,0.0
-275.96142,-254.05116,0.0
-254.05116,-232.1409,0.0
-232.1409,-210.23064,0.0
-210.23064,-188.32038,0.0
-188.32038,-166.41012,0.0
-166.41012,-144.49986,0.0
-144.49986,-122.5896,0.0
-122.5896,-100.67934,0.0
-100.67934,-78.76908,0.0
-78.76908,-56.85882,0.0
-56.85882,-34.94856,0.0
-34.94856,-13.0383,0.0
-13.0383,8.87196,0.0
8.87196,30.78222,0.50400610454
30.78222,52.69248,0.504499307799
52.69248,74.60274,0.514808329918
74.60274,96.513,0.55420295552
96.513,118.42326,0.655677187932
118.42326,140.33352,0.75970910057
140.33352,162.24378,0.699561994609
162.24378,184.15404,0.575774971297
184.15404,206.0643,0.526490066225
206.0643,227.97456,0.514959521295
227.97456,249.88482,0.513855709508
249.88482,271.79508,0.510140941904
271.79508,293.70534,0.512407488028
293.70534,315.6156,0.510396975425
315.6156,337.52586,0.511751326763
337.52586,359.43612,0.515400410678
359.43612,381.34638,0.514666666667
381.34638,403.25664,0.512315270936
403.25664,425.1669,0.514177693762
425.1669,447.07716,0.513812154696
447.07716,468.98742,0.512903225806
468.98742,490.89768,0.508547008547
490.89768,512.80794,0.506912442396
512.80794,534.7182,0.510989010989
534.7182,556.62846,0.51968503937
556.62846,578.53872,0.505882352941
578.53872,600.44898,0.529411764706
600.44898,622.35924,0.512195121951
622.35924,644.2695,0.5
644.2695,666.17976,0.5
666.17976,688.09002,0.5
688.09002,710.00028,0.535714285714
710.00028,731.91054,0.545454545455
731.91054,753.8208,0.514285714286
753.8208,775.73106,0.518518518519
775.73106,797.64132,0.5
797.64132,819.55158,0.521739130435
819.55158,841.46184,0.55
841.46184,863.3721,0.555555555556
863.3721,885.28236,0.5
885.28236,907.19262,0.5
907.19262,929.10288,0.5
929.10288,951.01314,0.5
951.01314,972.9234,0.6
972.9234,994.83366,0.545454545455
994.83366,1016.74392,0.0
1016.74392,1038.65418,0.0
1038.65418,1060.56444,0.0
1060.56444,1082.4747,0.0
1082.4747,1104.38496,0.0
1104.38496,1126.29522,0.0
1126.29522,1148.20548,0.0
1148.20548,1170.11574,0.0
1170.11574,1192.026,0.5
