Left boundary,Right boundary,S/(B+S)
6.329,19.75922,0.012297372834
19.75922,33.18944,0.0387698586212
33.18944,46.61966,0.11986801193
46.61966,60.04988,0.225629200805
60.04988,73.4801,0.346480985903
73.4801,86.91032,0.500295876099
86.91032,100.34054,0.578210552514
100.34054,113.77076,0.483263956207
113.77076,127.20098,0.199847444699
127.20098,140.6312,0.0458579881657
140.6312,154.06142,0.0327062228654
154.06142,167.49164,0.0376323010584
167.49164,180.92186,0.0393081761006
180.92186,194.35208,0.0423905489924
194.35208,207.7823,0.0425724637681
207.7823,221.21252,0.0434782608696
221.21252,234.64274,0.054462934947
234.64274,248.07296,0.0396975425331
248.07296,261.50318,0.0512820512821
261.50318,274.9334,0.0356164383562
274.9334,288.36362,0.0512820512821
288.36362,301.79384,0.0334728033473
301.79384,315.22406,0.046357615894
315.22406,328.65428,0.0520231213873
328.65428,342.0845,0.045871559633
342.0845,355.51472,0.0104166666667
355.51472,368.94494,0.0684931506849
368.94494,382.37516,0.04
382.37516,395.80538,0.02
395.80538,409.2356,0.063829787234
409.2356,422.66582,0.1
422.66582,436.09604,0.0
436.09604,449.52626,0.0689655172414
449.52626,462.95648,0.0588235294118
462.95648,476.3867,0.157894736842
476.3867,489.81692,0.0
489.81692,503.24714,0.0
503.24714,516.67736,0.0
516.67736,530.10758,0.0
530.10758,543.5378,0.0769230769231
543.5378,556.96802,0.0
556.96802,570.39824,0.0
570.39824,583.82846,0.333333333333
583.82846,597.25868,0.0
597.25868,610.6889,0.0
610.6889,624.11912,0.25
624.11912,637.54934,0.0
637.54934,650.97956,0.0
650.97956,664.40978,0.0
664.40978,677.84,0.2
677.84,691.27022,0.25
691.27022,704.70044,0.0
704.70044,718.13066,0.0
718.13066,731.56088,0.0
731.56088,744.9911,0.0
744.9911,758.42132,0.333333333333
758.42132,771.85154,0.0
771.85154,785.28176,0.0
785.28176,798.71198,0.5
798.71198,812.1422,0.0
812.1422,825.57242,0.0
825.57242,839.00264,0.0
839.00264,852.43286,0.0
852.43286,865.86308,0.0
865.86308,879.2933,0.0
879.2933,892.72352,0.0
892.72352,906.15374,0.0
906.15374,919.58396,0.0
919.58396,933.01418,0.0
933.01418,946.4444,0.0
946.4444,959.87462,0.0
959.87462,973.30484,0.0
973.30484,986.73506,0.0
986.73506,1000.16528,0.0
1000.16528,1013.5955,0.0
1013.5955,1027.02572,0.0
1027.02572,1040.45594,0.0
1040.45594,1053.88616,0.0
1053.88616,1067.31638,0.0
1067.31638,1080.7466,0.0
1080.7466,1094.17682,0.0
1094.17682,1107.60704,0.0
1107.60704,1121.03726,0.0
1121.03726,1134.46748,0.0
1134.46748,1147.8977,0.0
1147.8977,1161.32792,0.0
1161.32792,1174.75814,0.0
1174.75814,1188.18836,0.0
1188.18836,1201.61858,0.0
1201.61858,1215.0488,0.0
1215.0488,1228.47902,0.0
1228.47902,1241.90924,0.0
1241.90924,1255.33946,0.0
1255.33946,1268.76968,0.0
1268.76968,1282.1999,0.0
1282.1999,1295.63012,0.0
1295.63012,1309.06034,0.0
1309.06034,1322.49056,0.0
1322.49056,1335.92078,0.0
1335.92078,1349.351,0.0
