Left boundary,Right boundary,S/(B+S)
-999.0,-988.92497,0.299802205605
-988.92497,-978.84994,0.0
-978.84994,-968.77491,0.0
-968.77491,-958.69988,0.0
-958.69988,-948.62485,0.0
-948.62485,-938.54982,0.0
-938.54982,-928.47479,0.0
-928.47479,-918.39976,0.0
-918.39976,-908.32473,0.0
-908.32473,-898.2497,0.0
-898.2497,-888.17467,0.0
-888.17467,-878.09964,0.0
-878.09964,-868.02461,0.0
-868.02461,-857.94958,0.0
-857.94958,-847.87455,0.0
-847.87455,-837.79952,0.0
-837.79952,-827.72449,0.0
-827.72449,-817.64946,0.0
-817.64946,-807.57443,0.0
-807.57443,-797.4994,0.0
-797.4994,-787.42437,0.0
-787.42437,-777.34934,0.0
-777.34934,-767.27431,0.0
-767.27431,-757.19928,0.0
-757.19928,-747.12425,0.0
-747.12425,-737.04922,0.0
-737.04922,-726.97419,0.0
-726.97419,-716.89916,0.0
-716.89916,-706.82413,0.0
-706.82413,-696.7491,0.0
-696.7491,-686.67407,0.0
-686.67407,-676.59904,0.0
-676.59904,-666.52401,0.0
-666.52401,-656.44898,0.0
-656.44898,-646.37395,0.0
-646.37395,-636.29892,0.0
-636.29892,-626.22389,0.0
-626.22389,-616.14886,0.0
-616.14886,-606.07383,0.0
-606.07383,-595.9988,0.0
-595.9988,-585.92377,0.0
-585.92377,-575.84874,0.0
-575.84874,-565.77371,0.0
-565.77371,-555.69868,0.0
-555.69868,-545.62365,0.0
-545.62365,-535.54862,0.0
-535.54862,-525.47359,0.0
-525.47359,-515.39856,0.0
-515.39856,-505.32353,0.0
-505.32353,-495.2485,0.0
-495.2485,-485.17347,0.0
-485.17347,-475.09844,0.0
-475.09844,-465.02341,0.0
-465.02341,-454.94838,0.0
-454.94838,-444.87335,0.0
-444.87335,-434.79832,0.0
-434.79832,-424.72329,0.0
-424.72329,-414.64826,0.0
-414.64826,-404.57323,0.0
-404.57323,-394.4982,0.0
-394.4982,-384.42317,0.0
-384.42317,-374.34814,0.0
-374.34814,-364.27311,0.0
-364.27311,-354.19808,0.0
-354.19808,-344.12305,0.0
-344.12305,-334.04802,0.0
-334.04802,-323.97299,0.0
-323.97299,-313.89796,0.0
-313.89796,-303.82293,0.0
-303.82293,-293.7479,0.0
-293.7479,-283.67287,0.0
-283.67287,-273.59784,0.0
-273.59784,-263.52281,0.0
-263.52281,-253.44778,0.0
-253.44778,-243.37275,0.0
-243.37275,-233.29772,0.0
-233.29772,-223.22269,0.0
-223.22269,-213.14766,0.0
-213.14766,-203.07263,0.0
-203.07263,-192.9976,0.0
-192.9976,-182.92257,0.0
-182.92257,-172.84754,0.0
-172.84754,-162.77251,0.0
-162.77251,-152.69748,0.0
-152.69748,-142.62245,0.0
-142.62245,-132.54742,0.0
-132.54742,-122.47239,0.0
-122.47239,-112.39736,0.0
-112.39736,-102.32233,0.0
-102.32233,-92.2473,0.0
-92.2473,-82.17227,0.0
-82.17227,-72.09724,0.0
-72.09724,-62.02221,0.0
-62.02221,-51.94718,0.0
-51.94718,-41.87215,0.0
-41.87215,-31.79712,0.0
-31.79712,-21.72209,0.0
-21.72209,-11.64706,0.0
-11.64706,-1.57203,0.0
-1.57203,8.503,0.447527673242
