Left boundary,Right boundary,S/(B+S)
-999.0,-988.8431,0.299802205605
-988.8431,-978.6862,0.0
-978.6862,-968.5293,0.0
-968.5293,-958.3724,0.0
-958.3724,-948.2155,0.0
-948.2155,-938.0586,0.0
-938.0586,-927.9017,0.0
-927.9017,-917.7448,0.0
-917.7448,-907.5879,0.0
-907.5879,-897.431,0.0
-897.431,-887.2741,0.0
-887.2741,-877.1172,0.0
-877.1172,-866.9603,0.0
-866.9603,-856.8034,0.0
-856.8034,-846.6465,0.0
-846.6465,-836.4896,0.0
-836.4896,-826.3327,0.0
-826.3327,-816.1758,0.0
-816.1758,-806.0189,0.0
-806.0189,-795.862,0.0
-795.862,-785.7051,0.0
-785.7051,-775.5482,0.0
-775.5482,-765.3913,0.0
-765.3913,-755.2344,0.0
-755.2344,-745.0775,0.0
-745.0775,-734.9206,0.0
-734.9206,-724.7637,0.0
-724.7637,-714.6068,0.0
-714.6068,-704.4499,0.0
-704.4499,-694.293,0.0
-694.293,-684.1361,0.0
-684.1361,-673.9792,0.0
-673.9792,-663.8223,0.0
-663.8223,-653.6654,0.0
-653.6654,-643.5085,0.0
-643.5085,-633.3516,0.0
-633.3516,-623.1947,0.0
-623.1947,-613.0378,0.0
-613.0378,-602.8809,0.0
-602.8809,-592.724,0.0
-592.724,-582.5671,0.0
-582.5671,-572.4102,0.0
-572.4102,-562.2533,0.0
-562.2533,-552.0964,0.0
-552.0964,-541.9395,0.0
-541.9395,-531.7826,0.0
-531.7826,-521.6257,0.0
-521.6257,-511.4688,0.0
-511.4688,-501.3119,0.0
-501.3119,-491.155,0.0
-491.155,-480.9981,0.0
-480.9981,-470.8412,0.0
-470.8412,-460.6843,0.0
-460.6843,-450.5274,0.0
-450.5274,-440.3705,0.0
-440.3705,-430.2136,0.0
-430.2136,-420.0567,0.0
-420.0567,-409.8998,0.0
-409.8998,-399.7429,0.0
-399.7429,-389.586,0.0
-389.586,-379.4291,0.0
-379.4291,-369.2722,0.0
-369.2722,-359.1153,0.0
-359.1153,-348.9584,0.0
-348.9584,-338.8015,0.0
-338.8015,-328.6446,0.0
-328.6446,-318.4877,0.0
-318.4877,-308.3308,0.0
-308.3308,-298.1739,0.0
-298.1739,-288.017,0.0
-288.017,-277.8601,0.0
-277.8601,-267.7032,0.0
-267.7032,-257.5463,0.0
-257.5463,-247.3894,0.0
-247.3894,-237.2325,0.0
-237.2325,-227.0756,0.0
-227.0756,-216.9187,0.0
-216.9187,-206.7618,0.0
-206.7618,-196.6049,0.0
-196.6049,-186.448,0.0
-186.448,-176.2911,0.0
-176.2911,-166.1342,0.0
-166.1342,-155.9773,0.0
-155.9773,-145.8204,0.0
-145.8204,-135.6635,0.0
-135.6635,-125.5066,0.0
-125.5066,-115.3497,0.0
-115.3497,-105.1928,0.0
-105.1928,-95.0359,0.0
-95.0359,-84.879,0.0
-84.879,-74.7221,0.0
-74.7221,-64.5652,0.0
-64.5652,-54.4083,0.0
-54.4083,-44.2514,0.0
-44.2514,-34.0945,0.0
-34.0945,-23.9376,0.0
-23.9376,-13.7807,0.949579831933
-13.7807,-3.6238,0.76050389033
-3.6238,6.5331,0.37451312595
6.5331,16.69,0.386038186158
