Left boundary,Right boundary,S/(B+S)
0.208,0.26276,0.5
0.26276,0.31752,0.533333333333
0.31752,0.37228,0.5
0.37228,0.42704,0.509652509653
0.42704,0.4818,0.521739130435
0.4818,0.53656,0.532414910859
0.53656,0.59132,0.533644237175
0.59132,0.64608,0.54
0.64608,0.70084,0.549164208456
0.70084,0.7556,0.544646635633
0.7556,0.81036,0.567649281935
0.81036,0.86512,0.569910897875
0.86512,0.91988,0.570096363071
0.91988,0.97464,0.574855252275
0.97464,1.0294,0.576379974326
1.0294,1.08416,0.583572110793
1.08416,1.13892,0.592682335837
1.13892,1.19368,0.592488059053
1.19368,1.24844,0.594600040298
1.24844,1.3032,0.597410358566
1.3032,1.35796,0.601788432268
1.35796,1.41272,0.605382865807
1.41272,1.46748,0.610838334243
1.46748,1.52224,0.611806495264
1.52224,1.577,0.61096345515
1.577,1.63176,0.608054542572
1.63176,1.68652,0.611539042441
1.68652,1.74128,0.608
1.74128,1.79604,0.610487444609
1.79604,1.8508,0.613859932462
1.8508,1.90556,0.610852055956
1.90556,1.96032,0.607037335482
1.96032,2.01508,0.611632015219
2.01508,2.06984,0.607995777807
2.06984,2.1246,0.608582413494
2.1246,2.17936,0.605112931248
2.17936,2.23412,0.603119584055
2.23412,2.28888,0.608008429926
2.28888,2.34364,0.603030963803
2.34364,2.3984,0.60397208803
2.3984,2.45316,0.599047522545
2.45316,2.50792,0.605366294845
2.50792,2.56268,0.601515151515
2.56268,2.61744,0.601683937824
2.61744,2.6722,0.600172191132
2.6722,2.72696,0.598610051699
2.72696,2.78172,0.605959996761
2.78172,2.83648,0.61189258312
2.83648,2.89124,0.616229408176
2.89124,2.946,0.625811497849
2.946,3.00076,0.627163307457
3.00076,3.05552,0.638871025366
3.05552,3.11028,0.648011068834
3.11028,3.16504,0.647184237612
3.16504,3.2198,0.631655022886
3.2198,3.27456,0.616669267988
3.27456,3.32932,0.602173913043
3.32932,3.38408,0.580747617884
3.38408,3.43884,0.573542468186
3.43884,3.4936,0.563526052819
3.4936,3.54836,0.54933954934
3.54836,3.60312,0.542365201631
3.60312,3.65788,0.531982942431
3.65788,3.71264,0.525835866261
3.71264,3.7674,0.521868050408
3.7674,3.82216,0.516103692066
3.82216,3.87692,0.509641873278
3.87692,3.93168,0.516717325228
3.93168,3.98644,0.505759162304
3.98644,4.0412,0.506009615385
4.0412,4.09596,0.505681818182
4.09596,4.15072,0.503770739065
4.15072,4.20548,0.506108202443
4.20548,4.26024,0.507843137255
4.26024,4.315,0.501103752759
4.315,4.36976,0.503896103896
4.36976,4.42452,0.50135501355
4.42452,4.47928,0.506297229219
4.47928,4.53404,0.50495049505
4.53404,4.5888,0.504273504274
4.5888,4.64356,0.5
4.64356,4.69832,0.509174311927
4.69832,4.75308,0.5
4.75308,4.80784,0.508771929825
4.80784,4.8626,0.503267973856
4.8626,4.91736,0.503649635036
4.91736,4.97212,0.5
4.97212,5.02688,0.505376344086
5.02688,5.08164,0.514705882353
5.08164,5.1364,0.5
5.1364,5.19116,0.5
5.19116,5.24592,0.509803921569
5.24592,5.30068,0.5
5.30068,5.35544,0.5
5.35544,5.4102,0.5
5.4102,5.46496,0.5
5.46496,5.51972,0.5
5.51972,5.57448,0.5
5.57448,5.62924,0.5
5.62924,5.684,0.5
