Left boundary,Right boundary,S/(B+S)
0.047,0.24426,0.716585024493
0.24426,0.44152,0.732266077836
0.44152,0.63878,0.717384898711
0.63878,0.83604,0.674209160762
0.83604,1.0333,0.632037898797
1.0333,1.23056,0.598869193154
1.23056,1.42782,0.576844262295
1.42782,1.62508,0.568355881679
1.62508,1.82234,0.560528522277
1.82234,2.0196,0.557900763359
2.0196,2.21686,0.555303179933
2.21686,2.41412,0.559028932491
2.41412,2.61138,0.563385603627
2.61138,2.80864,0.564677613136
2.80864,3.0059,0.572102680257
3.0059,3.20316,0.573643410853
3.20316,3.40042,0.575561606535
3.40042,3.59768,0.582978723404
3.59768,3.79494,0.575268817204
3.79494,3.9922,0.586113002042
3.9922,4.18946,0.576552930884
4.18946,4.38672,0.586399108138
4.38672,4.58398,0.584795321637
4.58398,4.78124,0.56671899529
4.78124,4.9785,0.580121703854
4.9785,5.17576,0.569948186528
5.17576,5.37302,0.579634464752
5.37302,5.57028,0.566101694915
5.57028,5.76754,0.577075098814
5.76754,5.9648,0.586956521739
5.9648,6.16206,0.556291390728
6.16206,6.35932,0.56050955414
6.35932,6.55658,0.551470588235
6.55658,6.75384,0.602272727273
6.75384,6.9511,0.552941176471
6.9511,7.14836,0.565789473684
7.14836,7.34562,0.564516129032
7.34562,7.54288,0.545454545455
7.54288,7.74014,0.571428571429
7.74014,7.9374,0.571428571429
7.9374,8.13466,0.56
8.13466,8.33192,0.606060606061
8.33192,8.52918,0.560975609756
8.52918,8.72644,0.565217391304
8.72644,8.9237,0.588235294118
8.9237,9.12096,0.56
9.12096,9.31822,0.533333333333
9.31822,9.51548,0.529411764706
9.51548,9.71274,0.545454545455
9.71274,9.91,0.714285714286
9.91,10.10726,0.529411764706
10.10726,10.30452,0.666666666667
10.30452,10.50178,0.555555555556
10.50178,10.69904,0.571428571429
10.69904,10.8963,0.5
10.8963,11.09356,0.666666666667
11.09356,11.29082,0.571428571429
11.29082,11.48808,0.666666666667
11.48808,11.68534,0.5
11.68534,11.8826,0.5
11.8826,12.07986,0.5
12.07986,12.27712,0.5
12.27712,12.47438,0.5
12.47438,12.67164,1.0
12.67164,12.8689,0.5
12.8689,13.06616,0.0
13.06616,13.26342,0.5
13.26342,13.46068,0.0
13.46068,13.65794,0.5
13.65794,13.8552,0.5
13.8552,14.05246,0.5
14.05246,14.24972,0.5
14.24972,14.44698,0.0
14.44698,14.64424,0.0
14.64424,14.8415,0.0
14.8415,15.03876,0.5
15.03876,15.23602,0.5
15.23602,15.43328,0.5
15.43328,15.63054,0.0
15.63054,15.8278,0.5
15.8278,16.02506,0.5
16.02506,16.22232,0.0
16.22232,16.41958,0.0
16.41958,16.61684,0.0
16.61684,16.8141,0.5
16.8141,17.01136,0.0
17.01136,17.20862,0.0
17.20862,17.40588,0.0
17.40588,17.60314,0.0
17.60314,17.8004,0.0
17.8004,17.99766,0.0
17.99766,18.19492,0.0
18.19492,18.39218,0.0
18.39218,18.58944,0.0
18.58944,18.7867,0.0
18.7867,18.98396,1.0
18.98396,19.18122,0.5
19.18122,19.37848,0.0
19.37848,19.57574,0.0
19.57574,19.773,0.666666666667
