Left boundary,Right boundary,S/(B+S)
-999.0,-989.0,0.588166861113
-989.0,-979.0,0.0
-979.0,-969.0,0.0
-969.0,-959.0,0.0
-959.0,-949.0,0.0
-949.0,-939.0,0.0
-939.0,-929.0,0.0
-929.0,-919.0,0.0
-919.0,-909.0,0.0
-909.0,-899.0,0.0
-899.0,-889.0,0.0
-889.0,-879.0,0.0
-879.0,-869.0,0.0
-869.0,-859.0,0.0
-859.0,-849.0,0.0
-849.0,-839.0,0.0
-839.0,-829.0,0.0
-829.0,-819.0,0.0
-819.0,-809.0,0.0
-809.0,-799.0,0.0
-799.0,-789.0,0.0
-789.0,-779.0,0.0
-779.0,-769.0,0.0
-769.0,-759.0,0.0
-759.0,-749.0,0.0
-749.0,-739.0,0.0
-739.0,-729.0,0.0
-729.0,-719.0,0.0
-719.0,-709.0,0.0
-709.0,-699.0,0.0
-699.0,-689.0,0.0
-689.0,-679.0,0.0
-679.0,-669.0,0.0
-669.0,-659.0,0.0
-659.0,-649.0,0.0
-649.0,-639.0,0.0
-639.0,-629.0,0.0
-629.0,-619.0,0.0
-619.0,-609.0,0.0
-609.0,-599.0,0.0
-599.0,-589.0,0.0
-589.0,-579.0,0.0
-579.0,-569.0,0.0
-569.0,-559.0,0.0
-559.0,-549.0,0.0
-549.0,-539.0,0.0
-539.0,-529.0,0.0
-529.0,-519.0,0.0
-519.0,-509.0,0.0
-509.0,-499.0,0.0
-499.0,-489.0,0.0
-489.0,-479.0,0.0
-479.0,-469.0,0.0
-469.0,-459.0,0.0
-459.0,-449.0,0.0
-449.0,-439.0,0.0
-439.0,-429.0,0.0
-429.0,-419.0,0.0
-419.0,-409.0,0.0
-409.0,-399.0,0.0
-399.0,-389.0,0.0
-389.0,-379.0,0.0
-379.0,-369.0,0.0
-369.0,-359.0,0.0
-359.0,-349.0,0.0
-349.0,-339.0,0.0
-339.0,-329.0,0.0
-329.0,-319.0,0.0
-319.0,-309.0,0.0
-309.0,-299.0,0.0
-299.0,-289.0,0.0
-289.0,-279.0,0.0
-279.0,-269.0,0.0
-269.0,-259.0,0.0
-259.0,-249.0,0.0
-249.0,-239.0,0.0
-239.0,-229.0,0.0
-229.0,-219.0,0.0
-219.0,-209.0,0.0
-209.0,-199.0,0.0
-199.0,-189.0,0.0
-189.0,-179.0,0.0
-179.0,-169.0,0.0
-169.0,-159.0,0.0
-159.0,-149.0,0.0
-149.0,-139.0,0.0
-139.0,-129.0,0.0
-129.0,-119.0,0.0
-119.0,-109.0,0.0
-109.0,-99.0,0.0
-99.0,-89.0,0.0
-89.0,-79.0,0.0
-79.0,-69.0,0.0
-69.0,-59.0,0.0
-59.0,-49.0,0.0
-49.0,-39.0,0.0
-39.0,-29.0,0.0
-29.0,-19.0,0.0
-19.0,-9.0,0.0
-9.0,1.0,0.64413386491
