Left boundary,Right boundary,S/(B+S)
26.0,31.34271,0.612725236924
31.34271,36.68542,0.611724793052
36.68542,42.02813,0.606961092882
42.02813,47.37084,0.599221301181
47.37084,52.71355,0.595318988297
52.71355,58.05626,0.591949091949
58.05626,63.39897,0.590958444379
63.39897,68.74168,0.591248961507
68.74168,74.08439,0.593024376144
74.08439,79.4271,0.595866819747
79.4271,84.76981,0.590692934783
84.76981,90.11252,0.595973154362
90.11252,95.45523,0.594449164543
95.45523,100.79794,0.591570881226
100.79794,106.14065,0.596368715084
106.14065,111.48336,0.594053744997
111.48336,116.82607,0.601316752012
116.82607,122.16878,0.592396109637
122.16878,127.51149,0.602663706992
127.51149,132.8542,0.599447513812
132.8542,138.19691,0.608403361345
138.19691,143.53962,0.599229287091
143.53962,148.88233,0.586363636364
148.88233,154.22504,0.613636363636
154.22504,159.56775,0.603603603604
159.56775,164.91046,0.59842519685
164.91046,170.25317,0.616216216216
170.25317,175.59588,0.578947368421
175.59588,180.93859,0.593548387097
180.93859,186.2813,0.564285714286
186.2813,191.62401,0.626984126984
191.62401,196.96672,0.609756097561
196.96672,202.30943,0.631578947368
202.30943,207.65214,0.633802816901
207.65214,212.99485,0.611111111111
212.99485,218.33756,0.578125
218.33756,223.68027,0.585365853659
223.68027,229.02298,0.6
229.02298,234.36569,0.583333333333
234.36569,239.7084,0.606060606061
239.7084,245.05111,0.566666666667
245.05111,250.39382,0.588235294118
250.39382,255.73653,0.6
255.73653,261.07924,0.619047619048
261.07924,266.42195,0.666666666667
266.42195,271.76466,0.647058823529
271.76466,277.10737,0.5625
277.10737,282.45008,0.615384615385
282.45008,287.79279,0.75
287.79279,293.1355,0.625
293.1355,298.47821,0.625
298.47821,303.82092,0.666666666667
303.82092,309.16363,0.6
309.16363,314.50634,0.666666666667
314.50634,319.84905,0.6
319.84905,325.19176,0.6
325.19176,330.53447,0.5
330.53447,335.87718,1.0
335.87718,341.21989,1.0
341.21989,346.5626,0.5
346.5626,351.90531,0.666666666667
351.90531,357.24802,0.5
357.24802,362.59073,1.0
362.59073,367.93344,0.666666666667
367.93344,373.27615,0.5
373.27615,378.61886,0.0
378.61886,383.96157,0.0
383.96157,389.30428,0.666666666667
389.30428,394.64699,0.0
394.64699,399.9897,0.0
399.9897,405.33241,0.0
405.33241,410.67512,0.5
410.67512,416.01783,0.0
416.01783,421.36054,0.5
421.36054,426.70325,0.5
426.70325,432.04596,0.5
432.04596,437.38867,0.0
437.38867,442.73138,0.5
442.73138,448.07409,0.5
448.07409,453.4168,1.0
453.4168,458.75951,0.0
458.75951,464.10222,0.5
464.10222,469.44493,0.0
469.44493,474.78764,0.0
474.78764,480.13035,0.0
480.13035,485.47306,0.0
485.47306,490.81577,0.0
490.81577,496.15848,0.0
496.15848,501.50119,0.0
501.50119,506.8439,0.0
506.8439,512.18661,0.0
512.18661,517.52932,0.0
517.52932,522.87203,0.0
522.87203,528.21474,0.0
528.21474,533.55745,0.0
533.55745,538.90016,0.0
538.90016,544.24287,0.0
544.24287,549.58558,0.0
549.58558,554.92829,0.0
554.92829,560.271,0.5
