Left boundary,Right boundary,S/(B+S)
0.109,28.53408,0.397626081891
28.53408,56.95916,0.265603121107
56.95916,85.38424,0.342455762035
85.38424,113.80932,0.46221216296
113.80932,142.2344,0.506349952963
142.2344,170.65948,0.501955034213
170.65948,199.08456,0.516810758886
199.08456,227.50964,0.54740608229
227.50964,255.93472,0.58940397351
255.93472,284.3598,0.558139534884
284.3598,312.78488,0.575471698113
312.78488,341.20996,0.555555555556
341.20996,369.63504,0.5
369.63504,398.06012,0.714285714286
398.06012,426.4852,0.727272727273
426.4852,454.91028,0.5
454.91028,483.33536,0.75
483.33536,511.76044,0.666666666667
511.76044,540.18552,1.0
540.18552,568.6106,0.5
568.6106,597.03568,0.0
597.03568,625.46076,0.0
625.46076,653.88584,0.0
653.88584,682.31092,0.0
682.31092,710.736,1.0
710.736,739.16108,0.0
739.16108,767.58616,0.0
767.58616,796.01124,0.0
796.01124,824.43632,0.0
824.43632,852.8614,0.0
852.8614,881.28648,0.0
881.28648,909.71156,0.0
909.71156,938.13664,0.0
938.13664,966.56172,0.0
966.56172,994.9868,0.0
994.9868,1023.41188,0.0
1023.41188,1051.83696,0.0
1051.83696,1080.26204,0.0
1080.26204,1108.68712,0.0
1108.68712,1137.1122,0.0
1137.1122,1165.53728,0.0
1165.53728,1193.96236,0.0
1193.96236,1222.38744,0.0
1222.38744,1250.81252,0.0
1250.81252,1279.2376,0.0
1279.2376,1307.66268,0.0
1307.66268,1336.08776,0.0
1336.08776,1364.51284,0.0
1364.51284,1392.93792,0.0
1392.93792,1421.363,0.0
1421.363,1449.78808,0.0
1449.78808,1478.21316,0.0
1478.21316,1506.63824,0.0
1506.63824,1535.06332,0.0
1535.06332,1563.4884,0.0
1563.4884,1591.91348,0.0
1591.91348,1620.33856,0.0
1620.33856,1648.76364,0.0
1648.76364,1677.18872,0.0
1677.18872,1705.6138,0.0
1705.6138,1734.03888,0.0
1734.03888,1762.46396,0.0
1762.46396,1790.88904,0.0
1790.88904,1819.31412,0.0
1819.31412,1847.7392,0.0
1847.7392,1876.16428,0.0
1876.16428,1904.58936,0.0
1904.58936,1933.01444,0.0
1933.01444,1961.43952,0.0
1961.43952,1989.8646,0.0
1989.8646,2018.28968,0.0
2018.28968,2046.71476,0.0
2046.71476,2075.13984,0.0
2075.13984,2103.56492,0.0
2103.56492,2131.99,0.0
2131.99,2160.41508,0.0
2160.41508,2188.84016,0.0
2188.84016,2217.26524,0.0
2217.26524,2245.69032,0.0
2245.69032,2274.1154,0.0
2274.1154,2302.54048,0.0
2302.54048,2330.96556,0.0
2330.96556,2359.39064,0.0
2359.39064,2387.81572,0.0
2387.81572,2416.2408,0.0
2416.2408,2444.66588,0.0
2444.66588,2473.09096,0.0
2473.09096,2501.51604,0.0
2501.51604,2529.94112,0.0
2529.94112,2558.3662,0.0
2558.3662,2586.79128,0.0
2586.79128,2615.21636,0.0
2615.21636,2643.64144,0.0
2643.64144,2672.06652,0.0
2672.06652,2700.4916,0.0
2700.4916,2728.91668,0.0
2728.91668,2757.34176,0.0
2757.34176,2785.76684,0.0
2785.76684,2814.19192,0.0
2814.19192,2842.617,1.0
