Left boundary,Right boundary,S/(B+S)
-999.0,-977.80427,0.255141973517
-977.80427,-956.60854,0.0
-956.60854,-935.41281,0.0
-935.41281,-914.21708,0.0
-914.21708,-893.02135,0.0
-893.02135,-871.82562,0.0
-871.82562,-850.62989,0.0
-850.62989,-829.43416,0.0
-829.43416,-808.23843,0.0
-808.23843,-787.0427,0.0
-787.0427,-765.84697,0.0
-765.84697,-744.65124,0.0
-744.65124,-723.45551,0.0
-723.45551,-702.25978,0.0
-702.25978,-681.06405,0.0
-681.06405,-659.86832,0.0
-659.86832,-638.67259,0.0
-638.67259,-617.47686,0.0
-617.47686,-596.28113,0.0
-596.28113,-575.0854,0.0
-575.0854,-553.88967,0.0
-553.88967,-532.69394,0.0
-532.69394,-511.49821,0.0
-511.49821,-490.30248,0.0
-490.30248,-469.10675,0.0
-469.10675,-447.91102,0.0
-447.91102,-426.71529,0.0
-426.71529,-405.51956,0.0
-405.51956,-384.32383,0.0
-384.32383,-363.1281,0.0
-363.1281,-341.93237,0.0
-341.93237,-320.73664,0.0
-320.73664,-299.54091,0.0
-299.54091,-278.34518,0.0
-278.34518,-257.14945,0.0
-257.14945,-235.95372,0.0
-235.95372,-214.75799,0.0
-214.75799,-193.56226,0.0
-193.56226,-172.36653,0.0
-172.36653,-151.1708,0.0
-151.1708,-129.97507,0.0
-129.97507,-108.77934,0.0
-108.77934,-87.58361,0.0
-87.58361,-66.38788,0.0
-66.38788,-45.19215,0.0
-45.19215,-23.99642,0.0
-23.99642,-2.80069,0.0
-2.80069,18.39504,0.0
18.39504,39.59077,0.276460642495
39.59077,60.7865,0.360830486712
60.7865,81.98223,0.427807486631
81.98223,103.17796,0.4632845307
103.17796,124.37369,0.477663527175
124.37369,145.56942,0.492690433444
145.56942,166.76515,0.490960989534
166.76515,187.96088,0.484940591324
187.96088,209.15661,0.485880077369
209.15661,230.35234,0.473311546841
230.35234,251.54807,0.490683229814
251.54807,272.7438,0.478494623656
272.7438,293.93953,0.483282674772
293.93953,315.13526,0.491124260355
315.13526,336.33099,0.497354497354
336.33099,357.52672,0.420195439739
357.52672,378.72245,0.487046632124
378.72245,399.91818,0.469613259669
399.91818,421.11391,0.484126984127
421.11391,442.30964,0.517647058824
442.30964,463.50537,0.481012658228
463.50537,484.7011,0.469696969697
484.7011,505.89683,0.488888888889
505.89683,527.09256,0.612903225806
527.09256,548.28829,0.518518518519
548.28829,569.48402,0.428571428571
569.48402,590.67975,0.8
590.67975,611.87548,0.6
611.87548,633.07121,0.545454545455
633.07121,654.26694,0.285714285714
654.26694,675.46267,0.333333333333
675.46267,696.6584,0.75
696.6584,717.85413,0.0
717.85413,739.04986,0.5
739.04986,760.24559,0.0
760.24559,781.44132,0.0
781.44132,802.63705,0.0
802.63705,823.83278,0.0
823.83278,845.02851,0.0
845.02851,866.22424,0.0
866.22424,887.41997,0.0
887.41997,908.6157,0.0
908.6157,929.81143,0.0
929.81143,951.00716,0.0
951.00716,972.20289,0.0
972.20289,993.39862,0.0
993.39862,1014.59435,0.0
1014.59435,1035.79008,0.0
1035.79008,1056.98581,0.0
1056.98581,1078.18154,0.0
1078.18154,1099.37727,0.0
1099.37727,1120.573,0.0
