Left boundary,Right boundary,S/(B+S)
-999.0,-988.96501,0.255141973517
-988.96501,-978.93002,0.0
-978.93002,-968.89503,0.0
-968.89503,-958.86004,0.0
-958.86004,-948.82505,0.0
-948.82505,-938.79006,0.0
-938.79006,-928.75507,0.0
-928.75507,-918.72008,0.0
-918.72008,-908.68509,0.0
-908.68509,-898.6501,0.0
-898.6501,-888.61511,0.0
-888.61511,-878.58012,0.0
-878.58012,-868.54513,0.0
-868.54513,-858.51014,0.0
-858.51014,-848.47515,0.0
-848.47515,-838.44016,0.0
-838.44016,-828.40517,0.0
-828.40517,-818.37018,0.0
-818.37018,-808.33519,0.0
-808.33519,-798.3002,0.0
-798.3002,-788.26521,0.0
-788.26521,-778.23022,0.0
-778.23022,-768.19523,0.0
-768.19523,-758.16024,0.0
-758.16024,-748.12525,0.0
-748.12525,-738.09026,0.0
-738.09026,-728.05527,0.0
-728.05527,-718.02028,0.0
-718.02028,-707.98529,0.0
-707.98529,-697.9503,0.0
-697.9503,-687.91531,0.0
-687.91531,-677.88032,0.0
-677.88032,-667.84533,0.0
-667.84533,-657.81034,0.0
-657.81034,-647.77535,0.0
-647.77535,-637.74036,0.0
-637.74036,-627.70537,0.0
-627.70537,-617.67038,0.0
-617.67038,-607.63539,0.0
-607.63539,-597.6004,0.0
-597.6004,-587.56541,0.0
-587.56541,-577.53042,0.0
-577.53042,-567.49543,0.0
-567.49543,-557.46044,0.0
-557.46044,-547.42545,0.0
-547.42545,-537.39046,0.0
-537.39046,-527.35547,0.0
-527.35547,-517.32048,0.0
-517.32048,-507.28549,0.0
-507.28549,-497.2505,0.0
-497.2505,-487.21551,0.0
-487.21551,-477.18052,0.0
-477.18052,-467.14553,0.0
-467.14553,-457.11054,0.0
-457.11054,-447.07555,0.0
-447.07555,-437.04056,0.0
-437.04056,-427.00557,0.0
-427.00557,-416.97058,0.0
-416.97058,-406.93559,0.0
-406.93559,-396.9006,0.0
-396.9006,-386.86561,0.0
-386.86561,-376.83062,0.0
-376.83062,-366.79563,0.0
-366.79563,-356.76064,0.0
-356.76064,-346.72565,0.0
-346.72565,-336.69066,0.0
-336.69066,-326.65567,0.0
-326.65567,-316.62068,0.0
-316.62068,-306.58569,0.0
-306.58569,-296.5507,0.0
-296.5507,-286.51571,0.0
-286.51571,-276.48072,0.0
-276.48072,-266.44573,0.0
-266.44573,-256.41074,0.0
-256.41074,-246.37575,0.0
-246.37575,-236.34076,0.0
-236.34076,-226.30577,0.0
-226.30577,-216.27078,0.0
-216.27078,-206.23579,0.0
-206.23579,-196.2008,0.0
-196.2008,-186.16581,0.0
-186.16581,-176.13082,0.0
-176.13082,-166.09583,0.0
-166.09583,-156.06084,0.0
-156.06084,-146.02585,0.0
-146.02585,-135.99086,0.0
-135.99086,-125.95587,0.0
-125.95587,-115.92088,0.0
-115.92088,-105.88589,0.0
-105.88589,-95.8509,0.0
-95.8509,-85.81591,0.0
-85.81591,-75.78092,0.0
-75.78092,-65.74593,0.0
-65.74593,-55.71094,0.0
-55.71094,-45.67595,0.0
-45.67595,-35.64096,0.0
-35.64096,-25.60597,0.0
-25.60597,-15.57098,0.0
-15.57098,-5.53599,0.0
-5.53599,4.499,0.400934124874
