Left boundary,Right boundary,S/(B+S)
-999.0,-988.97859,0.255141973517
-988.97859,-978.95718,0.0
-978.95718,-968.93577,0.0
-968.93577,-958.91436,0.0
-958.91436,-948.89295,0.0
-948.89295,-938.87154,0.0
-938.87154,-928.85013,0.0
-928.85013,-918.82872,0.0
-918.82872,-908.80731,0.0
-908.80731,-898.7859,0.0
-898.7859,-888.76449,0.0
-888.76449,-878.74308,0.0
-878.74308,-868.72167,0.0
-868.72167,-858.70026,0.0
-858.70026,-848.67885,0.0
-848.67885,-838.65744,0.0
-838.65744,-828.63603,0.0
-828.63603,-818.61462,0.0
-818.61462,-808.59321,0.0
-808.59321,-798.5718,0.0
-798.5718,-788.55039,0.0
-788.55039,-778.52898,0.0
-778.52898,-768.50757,0.0
-768.50757,-758.48616,0.0
-758.48616,-748.46475,0.0
-748.46475,-738.44334,0.0
-738.44334,-728.42193,0.0
-728.42193,-718.40052,0.0
-718.40052,-708.37911,0.0
-708.37911,-698.3577,0.0
-698.3577,-688.33629,0.0
-688.33629,-678.31488,0.0
-678.31488,-668.29347,0.0
-668.29347,-658.27206,0.0
-658.27206,-648.25065,0.0
-648.25065,-638.22924,0.0
-638.22924,-628.20783,0.0
-628.20783,-618.18642,0.0
-618.18642,-608.16501,0.0
-608.16501,-598.1436,0.0
-598.1436,-588.12219,0.0
-588.12219,-578.10078,0.0
-578.10078,-568.07937,0.0
-568.07937,-558.05796,0.0
-558.05796,-548.03655,0.0
-548.03655,-538.01514,0.0
-538.01514,-527.99373,0.0
-527.99373,-517.97232,0.0
-517.97232,-507.95091,0.0
-507.95091,-497.9295,0.0
-497.9295,-487.90809,0.0
-487.90809,-477.88668,0.0
-477.88668,-467.86527,0.0
-467.86527,-457.84386,0.0
-457.84386,-447.82245,0.0
-447.82245,-437.80104,0.0
-437.80104,-427.77963,0.0
-427.77963,-417.75822,0.0
-417.75822,-407.73681,0.0
-407.73681,-397.7154,0.0
-397.7154,-387.69399,0.0
-387.69399,-377.67258,0.0
-377.67258,-367.65117,0.0
-367.65117,-357.62976,0.0
-357.62976,-347.60835,0.0
-347.60835,-337.58694,0.0
-337.58694,-327.56553,0.0
-327.56553,-317.54412,0.0
-317.54412,-307.52271,0.0
-307.52271,-297.5013,0.0
-297.5013,-287.47989,0.0
-287.47989,-277.45848,0.0
-277.45848,-267.43707,0.0
-267.43707,-257.41566,0.0
-257.41566,-247.39425,0.0
-247.39425,-237.37284,0.0
-237.37284,-227.35143,0.0
-227.35143,-217.33002,0.0
-217.33002,-207.30861,0.0
-207.30861,-197.2872,0.0
-197.2872,-187.26579,0.0
-187.26579,-177.24438,0.0
-177.24438,-167.22297,0.0
-167.22297,-157.20156,0.0
-157.20156,-147.18015,0.0
-147.18015,-137.15874,0.0
-137.15874,-127.13733,0.0
-127.13733,-117.11592,0.0
-117.11592,-107.09451,0.0
-107.09451,-97.0731,0.0
-97.0731,-87.05169,0.0
-87.05169,-77.03028,0.0
-77.03028,-67.00887,0.0
-67.00887,-56.98746,0.0
-56.98746,-46.96605,0.0
-46.96605,-36.94464,0.0
-36.94464,-26.92323,0.0
-26.92323,-16.90182,0.0
-16.90182,-6.88041,0.0
-6.88041,3.141,0.400934124874
