Left boundary,Right boundary,S/(B+S)
-999.0,-988.965,0.588166861113
-988.965,-978.93,0.0
-978.93,-968.895,0.0
-968.895,-958.86,0.0
-958.86,-948.825,0.0
-948.825,-938.79,0.0
-938.79,-928.755,0.0
-928.755,-918.72,0.0
-918.72,-908.685,0.0
-908.685,-898.65,0.0
-898.65,-888.615,0.0
-888.615,-878.58,0.0
-878.58,-868.545,0.0
-868.545,-858.51,0.0
-858.51,-848.475,0.0
-848.475,-838.44,0.0
-838.44,-828.405,0.0
-828.405,-818.37,0.0
-818.37,-808.335,0.0
-808.335,-798.3,0.0
-798.3,-788.265,0.0
-788.265,-778.23,0.0
-778.23,-768.195,0.0
-768.195,-758.16,0.0
-758.16,-748.125,0.0
-748.125,-738.09,0.0
-738.09,-728.055,0.0
-728.055,-718.02,0.0
-718.02,-707.985,0.0
-707.985,-697.95,0.0
-697.95,-687.915,0.0
-687.915,-677.88,0.0
-677.88,-667.845,0.0
-667.845,-657.81,0.0
-657.81,-647.775,0.0
-647.775,-637.74,0.0
-637.74,-627.705,0.0
-627.705,-617.67,0.0
-617.67,-607.635,0.0
-607.635,-597.6,0.0
-597.6,-587.565,0.0
-587.565,-577.53,0.0
-577.53,-567.495,0.0
-567.495,-557.46,0.0
-557.46,-547.425,0.0
-547.425,-537.39,0.0
-537.39,-527.355,0.0
-527.355,-517.32,0.0
-517.32,-507.285,0.0
-507.285,-497.25,0.0
-497.25,-487.215,0.0
-487.215,-477.18,0.0
-477.18,-467.145,0.0
-467.145,-457.11,0.0
-457.11,-447.075,0.0
-447.075,-437.04,0.0
-437.04,-427.005,0.0
-427.005,-416.97,0.0
-416.97,-406.935,0.0
-406.935,-396.9,0.0
-396.9,-386.865,0.0
-386.865,-376.83,0.0
-376.83,-366.795,0.0
-366.795,-356.76,0.0
-356.76,-346.725,0.0
-346.725,-336.69,0.0
-336.69,-326.655,0.0
-326.655,-316.62,0.0
-316.62,-306.585,0.0
-306.585,-296.55,0.0
-296.55,-286.515,0.0
-286.515,-276.48,0.0
-276.48,-266.445,0.0
-266.445,-256.41,0.0
-256.41,-246.375,0.0
-246.375,-236.34,0.0
-236.34,-226.305,0.0
-226.305,-216.27,0.0
-216.27,-206.235,0.0
-206.235,-196.2,0.0
-196.2,-186.165,0.0
-186.165,-176.13,0.0
-176.13,-166.095,0.0
-166.095,-156.06,0.0
-156.06,-146.025,0.0
-146.025,-135.99,0.0
-135.99,-125.955,0.0
-125.955,-115.92,0.0
-115.92,-105.885,0.0
-105.885,-95.85,0.0
-95.85,-85.815,0.0
-85.815,-75.78,0.0
-75.78,-65.745,0.0
-65.745,-55.71,0.0
-55.71,-45.675,0.0
-45.675,-35.64,0.0
-35.64,-25.605,0.0
-25.605,-15.57,0.0
-15.57,-5.535,0.0
-5.535,4.5,0.64413386491
