Left boundary,Right boundary,S/(B+S)
-999.0,-988.97858,0.588166861113
-988.97858,-978.95716,0.0
-978.95716,-968.93574,0.0
-968.93574,-958.91432,0.0
-958.91432,-948.8929,0.0
-948.8929,-938.87148,0.0
-938.87148,-928.85006,0.0
-928.85006,-918.82864,0.0
-918.82864,-908.80722,0.0
-908.80722,-898.7858,0.0
-898.7858,-888.76438,0.0
-888.76438,-878.74296,0.0
-878.74296,-868.72154,0.0
-868.72154,-858.70012,0.0
-858.70012,-848.6787,0.0
-848.6787,-838.65728,0.0
-838.65728,-828.63586,0.0
-828.63586,-818.61444,0.0
-818.61444,-808.59302,0.0
-808.59302,-798.5716,0.0
-798.5716,-788.55018,0.0
-788.55018,-778.52876,0.0
-778.52876,-768.50734,0.0
-768.50734,-758.48592,0.0
-758.48592,-748.4645,0.0
-748.4645,-738.44308,0.0
-738.44308,-728.42166,0.0
-728.42166,-718.40024,0.0
-718.40024,-708.37882,0.0
-708.37882,-698.3574,0.0
-698.3574,-688.33598,0.0
-688.33598,-678.31456,0.0
-678.31456,-668.29314,0.0
-668.29314,-658.27172,0.0
-658.27172,-648.2503,0.0
-648.2503,-638.22888,0.0
-638.22888,-628.20746,0.0
-628.20746,-618.18604,0.0
-618.18604,-608.16462,0.0
-608.16462,-598.1432,0.0
-598.1432,-588.12178,0.0
-588.12178,-578.10036,0.0
-578.10036,-568.07894,0.0
-568.07894,-558.05752,0.0
-558.05752,-548.0361,0.0
-548.0361,-538.01468,0.0
-538.01468,-527.99326,0.0
-527.99326,-517.97184,0.0
-517.97184,-507.95042,0.0
-507.95042,-497.929,0.0
-497.929,-487.90758,0.0
-487.90758,-477.88616,0.0
-477.88616,-467.86474,0.0
-467.86474,-457.84332,0.0
-457.84332,-447.8219,0.0
-447.8219,-437.80048,0.0
-437.80048,-427.77906,0.0
-427.77906,-417.75764,0.0
-417.75764,-407.73622,0.0
-407.73622,-397.7148,0.0
-397.7148,-387.69338,0.0
-387.69338,-377.67196,0.0
-377.67196,-367.65054,0.0
-367.65054,-357.62912,0.0
-357.62912,-347.6077,0.0
-347.6077,-337.58628,0.0
-337.58628,-327.56486,0.0
-327.56486,-317.54344,0.0
-317.54344,-307.52202,0.0
-307.52202,-297.5006,0.0
-297.5006,-287.47918,0.0
-287.47918,-277.45776,0.0
-277.45776,-267.43634,0.0
-267.43634,-257.41492,0.0
-257.41492,-247.3935,0.0
-247.3935,-237.37208,0.0
-237.37208,-227.35066,0.0
-227.35066,-217.32924,0.0
-217.32924,-207.30782,0.0
-207.30782,-197.2864,0.0
-197.2864,-187.26498,0.0
-187.26498,-177.24356,0.0
-177.24356,-167.22214,0.0
-167.22214,-157.20072,0.0
-157.20072,-147.1793,0.0
-147.1793,-137.15788,0.0
-137.15788,-127.13646,0.0
-127.13646,-117.11504,0.0
-117.11504,-107.09362,0.0
-107.09362,-97.0722,0.0
-97.0722,-87.05078,0.0
-87.05078,-77.02936,0.0
-77.02936,-67.00794,0.0
-67.00794,-56.98652,0.0
-56.98652,-46.9651,0.0
-46.9651,-36.94368,0.0
-36.94368,-26.92226,0.0
-26.92226,-16.90084,0.0
-16.90084,-6.87942,0.0
-6.87942,3.142,0.64413386491
