Left boundary,Right boundary,S/(B+S)
6.329,19.75922,0.50309336333
19.75922,33.18944,0.509884066587
33.18944,46.61966,0.531877552398
46.61966,60.04988,0.56358005917
60.04988,73.4801,0.604770789737
73.4801,86.91032,0.666798193099
86.91032,100.34054,0.703339022362
100.34054,113.77076,0.659310500395
113.77076,127.20098,0.555508474576
127.20098,140.6312,0.511733535201
140.6312,154.06142,0.508312490805
154.06142,167.49164,0.509588493807
167.49164,180.92186,0.510024057739
180.92186,194.35208,0.510827121051
194.35208,207.7823,0.510874595095
207.7823,221.21252,0.511111111111
221.21252,234.64274,0.51399688958
234.64274,248.07296,0.51012536162
248.07296,261.50318,0.513157894737
261.50318,274.9334,0.509065550907
274.9334,288.36362,0.513157894737
288.36362,301.79384,0.508510638298
301.79384,315.22406,0.51186440678
315.22406,328.65428,0.513353115727
328.65428,342.0845,0.511737089202
342.0845,355.51472,0.502617801047
355.51472,368.94494,0.517730496454
368.94494,382.37516,0.510204081633
382.37516,395.80538,0.505050505051
395.80538,409.2356,0.516483516484
409.2356,422.66582,0.526315789474
422.66582,436.09604,0.5
436.09604,449.52626,0.517857142857
449.52626,462.95648,0.515151515152
462.95648,476.3867,0.542857142857
476.3867,489.81692,0.5
489.81692,503.24714,0.5
503.24714,516.67736,0.5
516.67736,530.10758,0.5
530.10758,543.5378,0.52
543.5378,556.96802,0.5
556.96802,570.39824,0.5
570.39824,583.82846,0.6
583.82846,597.25868,0.5
597.25868,610.6889,0.5
610.6889,624.11912,0.571428571429
624.11912,637.54934,0.5
637.54934,650.97956,0.5
650.97956,664.40978,0.5
664.40978,677.84,0.555555555556
677.84,691.27022,0.571428571429
691.27022,704.70044,0.5
704.70044,718.13066,0.0
718.13066,731.56088,0.0
731.56088,744.9911,0.5
744.9911,758.42132,0.6
758.42132,771.85154,0.0
771.85154,785.28176,0.0
785.28176,798.71198,0.666666666667
798.71198,812.1422,0.0
812.1422,825.57242,0.0
825.57242,839.00264,0.0
839.00264,852.43286,0.0
852.43286,865.86308,0.0
865.86308,879.2933,0.0
879.2933,892.72352,0.0
892.72352,906.15374,0.0
906.15374,919.58396,0.0
919.58396,933.01418,0.5
933.01418,946.4444,0.0
946.4444,959.87462,0.5
959.87462,973.30484,0.0
973.30484,986.73506,0.0
986.73506,1000.16528,0.0
1000.16528,1013.5955,0.0
1013.5955,1027.02572,0.0
1027.02572,1040.45594,0.5
1040.45594,1053.88616,0.5
1053.88616,1067.31638,0.0
1067.31638,1080.7466,0.0
1080.7466,1094.17682,0.0
1094.17682,1107.60704,0.0
1107.60704,1121.03726,0.0
1121.03726,1134.46748,0.0
1134.46748,1147.8977,0.0
1147.8977,1161.32792,0.5
1161.32792,1174.75814,0.0
1174.75814,1188.18836,0.0
1188.18836,1201.61858,0.0
1201.61858,1215.0488,0.0
1215.0488,1228.47902,0.0
1228.47902,1241.90924,0.0
1241.90924,1255.33946,0.0
1255.33946,1268.76968,0.0
1268.76968,1282.1999,0.0
1282.1999,1295.63012,0.0
1295.63012,1309.06034,0.0
1309.06034,1322.49056,0.0
1322.49056,1335.92078,0.5
1335.92078,1349.351,0.5
