Left boundary,Right boundary,S/(B+S)
13.602,63.21577,0.606515989421
63.21577,112.82954,0.629953020453
112.82954,162.44331,0.571873854052
162.44331,212.05708,0.581017928456
212.05708,261.67085,0.59342980881
261.67085,311.28462,0.619349265764
311.28462,360.89839,0.635980966325
360.89839,410.51216,0.652977854225
410.51216,460.12593,0.673041655751
460.12593,509.7397,0.682035928144
509.7397,559.35347,0.693164933135
559.35347,608.96724,0.715506193934
608.96724,658.58101,0.713313896987
658.58101,708.19478,0.741019698725
708.19478,757.80855,0.753535353535
757.80855,807.42232,0.776170212766
807.42232,857.03609,0.781772575251
857.03609,906.64986,0.794411177645
906.64986,956.26363,0.81351981352
956.26363,1005.8774,0.821522309711
1005.8774,1055.49117,0.823889739663
1055.49117,1105.10494,0.825448613377
1105.10494,1154.71871,0.859884836852
1154.71871,1204.33248,0.850971922246
1204.33248,1253.94625,0.86432160804
1253.94625,1303.56002,0.835443037975
1303.56002,1353.17379,0.866477272727
1353.17379,1402.78756,0.887640449438
1402.78756,1452.40133,0.877394636015
1452.40133,1502.0151,0.903083700441
1502.0151,1551.62887,0.909574468085
1551.62887,1601.24264,0.917582417582
1601.24264,1650.85641,0.948148148148
1650.85641,1700.47018,0.908163265306
1700.47018,1750.08395,0.92
1750.08395,1799.69772,0.948275862069
1799.69772,1849.31149,0.902654867257
1849.31149,1898.92526,0.945652173913
1898.92526,1948.53903,0.935897435897
1948.53903,1998.1528,0.923913043478
1998.1528,2047.76657,0.984615384615
2047.76657,2097.38034,0.939393939394
2097.38034,2146.99411,0.885245901639
2146.99411,2196.60788,0.938775510204
2196.60788,2246.22165,0.914285714286
2246.22165,2295.83542,1.0
2295.83542,2345.44919,0.966666666667
2345.44919,2395.06296,1.0
2395.06296,2444.67673,1.0
2444.67673,2494.2905,0.931034482759
2494.2905,2543.90427,1.0
2543.90427,2593.51804,0.923076923077
2593.51804,2643.13181,1.0
2643.13181,2692.74558,1.0
2692.74558,2742.35935,0.941176470588
2742.35935,2791.97312,1.0
2791.97312,2841.58689,1.0
2841.58689,2891.20066,1.0
2891.20066,2940.81443,1.0
2940.81443,2990.4282,1.0
2990.4282,3040.04197,1.0
3040.04197,3089.65574,0.833333333333
3089.65574,3139.26951,1.0
3139.26951,3188.88328,1.0
3188.88328,3238.49705,1.0
3238.49705,3288.11082,1.0
3288.11082,3337.72459,1.0
3337.72459,3387.33836,1.0
3387.33836,3436.95213,1.0
3436.95213,3486.5659,0.75
3486.5659,3536.17967,1.0
3536.17967,3585.79344,1.0
3585.79344,3635.40721,1.0
3635.40721,3685.02098,1.0
3685.02098,3734.63475,1.0
3734.63475,3784.24852,1.0
3784.24852,3833.86229,1.0
3833.86229,3883.47606,0.0
3883.47606,3933.08983,1.0
3933.08983,3982.7036,0.0
3982.7036,4032.31737,1.0
4032.31737,4081.93114,0.5
4081.93114,4131.54491,0.0
4131.54491,4181.15868,1.0
4181.15868,4230.77245,0.0
4230.77245,4280.38622,0.0
4280.38622,4329.99999,0.0
4329.99999,4379.61376,0.0
4379.61376,4429.22753,0.0
4429.22753,4478.8413,0.0
4478.8413,4528.45507,0.0
4528.45507,4578.06884,1.0
4578.06884,4627.68261,0.0
4627.68261,4677.29638,0.0
4677.29638,4726.91015,0.0
4726.91015,4776.52392,0.0
4776.52392,4826.13769,0.0
4826.13769,4875.75146,0.0
4875.75146,4925.36523,0.0
4925.36523,4974.979,1.0
