Left boundary,Right boundary,S/(B+S)
-18.066,-17.71844,1.0
-17.71844,-17.37088,0.0
-17.37088,-17.02332,1.0
-17.02332,-16.67576,1.0
-16.67576,-16.3282,1.0
-16.3282,-15.98064,1.0
-15.98064,-15.63308,1.0
-15.63308,-15.28552,0.916666666667
-15.28552,-14.93796,1.0
-14.93796,-14.5904,0.888888888889
-14.5904,-14.24284,0.96
-14.24284,-13.89528,0.9
-13.89528,-13.54772,1.0
-13.54772,-13.20016,0.916666666667
-13.20016,-12.8526,0.94
-12.8526,-12.50504,0.949152542373
-12.50504,-12.15748,0.945454545455
-12.15748,-11.80992,0.928571428571
-11.80992,-11.46236,0.925531914894
-11.46236,-11.1148,0.933333333333
-11.1148,-10.76724,0.936507936508
-10.76724,-10.41968,0.922077922078
-10.41968,-10.07212,0.899441340782
-10.07212,-9.72456,0.913265306122
-9.72456,-9.377,0.877828054299
-9.377,-9.02944,0.872509960159
-9.02944,-8.68188,0.885294117647
-8.68188,-8.33432,0.882882882883
-8.33432,-7.98676,0.892086330935
-7.98676,-7.6392,0.850107066381
-7.6392,-7.29164,0.822616407982
-7.29164,-6.94408,0.833017077799
-6.94408,-6.59652,0.8359375
-6.59652,-6.24896,0.765129682997
-6.24896,-5.9014,0.791884816754
-5.9014,-5.55384,0.755201958384
-5.55384,-5.20628,0.744312026002
-5.20628,-4.85872,0.709677419355
-4.85872,-4.51116,0.699822380107
-4.51116,-4.1636,0.634166666667
-4.1636,-3.81604,0.630534351145
-3.81604,-3.46848,0.644171779141
-3.46848,-3.12092,0.619586942039
-3.12092,-2.77336,0.607185628743
-2.77336,-2.4258,0.550327575938
-2.4258,-2.07824,0.519667590028
-2.07824,-1.73068,0.492599444958
-1.73068,-1.38312,0.440999138674
-1.38312,-1.03556,0.381431767338
-1.03556,-0.688,0.329404268875
-0.688,-0.34044,0.312163616792
-0.34044,0.00712,0.308405532756
0.00712,0.35468,0.321804747681
0.35468,0.70224,0.335523114355
0.70224,1.0498,0.331651954603
1.0498,1.39736,0.323275862069
1.39736,1.74492,0.347504621072
1.74492,2.09248,0.34149054505
2.09248,2.44004,0.348586810229
2.44004,2.7876,0.343675417661
2.7876,3.13516,0.338208409506
3.13516,3.48272,0.355440414508
3.48272,3.83028,0.333756345178
3.83028,4.17784,0.33893557423
4.17784,4.5254,0.342577487765
4.5254,4.87296,0.358
4.87296,5.22052,0.316916488223
5.22052,5.56808,0.348448687351
5.56808,5.91564,0.384384384384
5.91564,6.2632,0.398773006135
6.2632,6.61076,0.361623616236
6.61076,6.95832,0.375
6.95832,7.30588,0.376744186047
7.30588,7.65344,0.348837209302
7.65344,8.001,0.360759493671
8.001,8.34856,0.349315068493
8.34856,8.69612,0.394957983193
8.69612,9.04368,0.397590361446
9.04368,9.39124,0.432432432432
9.39124,9.7388,0.466666666667
9.7388,10.08636,0.338235294118
10.08636,10.43392,0.483333333333
10.43392,10.78148,0.351351351351
10.78148,11.12904,0.347826086957
11.12904,11.4766,0.592592592593
11.4766,11.82416,0.269230769231
11.82416,12.17172,0.272727272727
12.17172,12.51928,0.55
12.51928,12.86684,0.454545454545
12.86684,13.2144,0.571428571429
13.2144,13.56196,0.555555555556
13.56196,13.90952,0.625
13.90952,14.25708,0.333333333333
14.25708,14.60464,1.0
14.60464,14.9522,0.75
14.9522,15.29976,0.666666666667
15.29976,15.64732,1.0
15.64732,15.99488,0.0
15.99488,16.34244,0.0
16.34244,16.69,0.5
