Left boundary,Right boundary,S/(B+S)
0.0,0.01,0.308969928302
0.01,0.02,0.24831207802
0.02,0.03,0.24115755627
0.03,0.04,0.264335664336
0.04,0.05,0.25386996904
0.05,0.06,0.242160278746
0.06,0.07,0.265107212476
0.07,0.08,0.282157676349
0.08,0.09,0.255868544601
0.09,0.1,0.293689320388
0.1,0.11,0.258883248731
0.11,0.12,0.28701594533
0.12,0.13,0.256476683938
0.13,0.14,0.297376093294
0.14,0.15,0.277777777778
0.15,0.16,0.280966767372
0.16,0.17,0.277620396601
0.17,0.18,0.275449101796
0.18,0.19,0.3
0.19,0.2,0.305714285714
0.2,0.21,0.299363057325
0.21,0.22,0.296928327645
0.22,0.23,0.328025477707
0.23,0.24,0.282608695652
0.24,0.25,0.302405498282
0.25,0.26,0.294736842105
0.26,0.27,0.293706293706
0.27,0.28,0.3264604811
0.28,0.29,0.335740072202
0.29,0.3,0.318897637795
0.3,0.31,0.310954063604
0.31,0.32,0.345454545455
0.32,0.33,0.35593220339
0.33,0.34,0.300675675676
0.34,0.35,0.337748344371
0.35,0.36,0.379310344828
0.36,0.37,0.351170568562
0.37,0.38,0.333333333333
0.38,0.39,0.351724137931
0.39,0.4,0.302419354839
0.4,0.41,0.377483443709
0.41,0.42,0.403921568627
0.42,0.43,0.36398467433
0.43,0.44,0.382059800664
0.44,0.45,0.379432624113
0.45,0.46,0.37987012987
0.46,0.47,0.394039735099
0.47,0.48,0.40221402214
0.48,0.49,0.441935483871
0.49,0.5,0.414141414141
0.5,0.51,0.442675159236
0.51,0.52,0.450847457627
0.52,0.53,0.462025316456
0.53,0.54,0.396721311475
0.54,0.55,0.443425076453
0.55,0.56,0.452599388379
0.56,0.57,0.47027027027
0.57,0.58,0.409937888199
0.58,0.59,0.439093484419
0.59,0.6,0.471641791045
0.6,0.61,0.525
0.61,0.62,0.532608695652
0.62,0.63,0.462427745665
0.63,0.64,0.507692307692
0.64,0.65,0.463942307692
0.65,0.66,0.5
0.66,0.67,0.493765586035
0.67,0.68,0.510158013544
0.68,0.69,0.534632034632
0.69,0.7,0.521541950113
0.7,0.71,0.521505376344
0.71,0.72,0.521939953811
0.72,0.73,0.58352402746
0.73,0.74,0.56462585034
0.74,0.75,0.523178807947
0.75,0.76,0.540772532189
0.76,0.77,0.547916666667
0.77,0.78,0.573896353167
0.78,0.79,0.576237623762
0.79,0.8,0.556201550388
0.8,0.81,0.598006644518
0.81,0.82,0.625429553265
0.82,0.83,0.610434782609
0.83,0.84,0.565815324165
0.84,0.85,0.60487804878
0.85,0.86,0.647577092511
0.86,0.87,0.598496240602
0.87,0.88,0.580786026201
0.88,0.89,0.646288209607
0.89,0.9,0.626490066225
0.9,0.91,0.660649819495
0.91,0.92,0.623774509804
0.92,0.93,0.651111111111
0.93,0.94,0.645106382979
0.94,0.95,0.651184834123
0.95,0.96,0.659360730594
0.96,0.97,0.654635527247
0.97,0.98,0.653602305476
0.98,0.99,0.679342723005
0.99,1.0,0.669440926361
