Left boundary,Right boundary,S/(B+S)
-3.142,-3.07916,0.3346198379
-3.07916,-3.01632,0.333596837945
-3.01632,-2.95348,0.349860055978
-2.95348,-2.89064,0.337587006961
-2.89064,-2.8278,0.334558823529
-2.8278,-2.76496,0.347272003186
-2.76496,-2.70212,0.328942115768
-2.70212,-2.63928,0.351162790698
-2.63928,-2.57644,0.331957060281
-2.57644,-2.5136,0.355348460292
-2.5136,-2.45076,0.339398734177
-2.45076,-2.38792,0.327849588719
-2.38792,-2.32508,0.360300250209
-2.32508,-2.26224,0.345555998406
-2.26224,-2.1994,0.343658434491
-2.1994,-2.13656,0.335624747271
-2.13656,-2.07372,0.343137254902
-2.07372,-2.01088,0.339887640449
-2.01088,-1.94804,0.327572663001
-1.94804,-1.8852,0.334235976789
-1.8852,-1.82236,0.330833004343
-1.82236,-1.75952,0.341162420382
-1.75952,-1.69668,0.330311391407
-1.69668,-1.63384,0.317083162638
-1.63384,-1.571,0.336463862801
-1.571,-1.50816,0.328554360812
-1.50816,-1.44532,0.335460710012
-1.44532,-1.38248,0.312750601443
-1.38248,-1.31964,0.357428115016
-1.31964,-1.2568,0.343109682603
-1.2568,-1.19396,0.347636074692
-1.19396,-1.13112,0.318108326597
-1.13112,-1.06828,0.330635370295
-1.06828,-1.00544,0.335249042146
-1.00544,-0.9426,0.342115768463
-0.9426,-0.87976,0.360631104433
-0.87976,-0.81692,0.347265625
-0.81692,-0.75408,0.336441336441
-0.75408,-0.69124,0.350390625
-0.69124,-0.6284,0.335255670896
-0.6284,-0.56556,0.331746031746
-0.56556,-0.50272,0.348663522013
-0.50272,-0.43988,0.336722244815
-0.43988,-0.37704,0.32880543348
-0.37704,-0.3142,0.333202972233
-0.3142,-0.25136,0.335528864781
-0.25136,-0.18852,0.343324250681
-0.18852,-0.12568,0.337615415496
-0.12568,-0.06284,0.338033843674
-0.06284,-4.4408920985e-16,0.334889148191
-4.4408920985e-16,0.06284,0.353211009174
0.06284,0.12568,0.353883106485
0.12568,0.18852,0.342465753425
0.18852,0.25136,0.342188739096
0.25136,0.3142,0.343397745572
0.3142,0.37704,0.351718285957
0.37704,0.43988,0.337368845843
0.43988,0.50272,0.340845070423
0.50272,0.56556,0.346410357003
0.56556,0.6284,0.349896480331
0.6284,0.69124,0.356069364162
0.69124,0.75408,0.345189975748
0.75408,0.81692,0.348133595285
0.81692,0.87976,0.356697819315
0.87976,0.9426,0.336315575437
0.9426,1.00544,0.331056649257
1.00544,1.06828,0.370127205581
1.06828,1.13112,0.351125938282
1.13112,1.19396,0.354123922856
1.19396,1.2568,0.359683794466
1.2568,1.31964,0.342615012107
1.31964,1.38248,0.346846846847
1.38248,1.44532,0.346534653465
1.44532,1.50816,0.340399510803
1.50816,1.571,0.340570969039
1.571,1.63384,0.35550369506
1.63384,1.69668,0.341081994928
1.69668,1.75952,0.356230031949
1.75952,1.82236,0.340562248996
1.82236,1.8852,0.353790613718
1.8852,1.94804,0.343977364592
1.94804,2.01088,0.333882256072
2.01088,2.07372,0.355414518048
2.07372,2.13656,0.35592563904
2.13656,2.1994,0.34293717487
2.1994,2.26224,0.356763383735
2.26224,2.32508,0.352727272727
2.32508,2.38792,0.354825628548
2.38792,2.45076,0.341702628482
2.45076,2.5136,0.355609558526
2.5136,2.57644,0.341443633414
2.57644,2.63928,0.360093530787
2.63928,2.70212,0.333333333333
2.70212,2.76496,0.35089869281
2.76496,2.8278,0.3448
2.8278,2.89064,0.344672131148
2.89064,2.95348,0.3344
2.95348,3.01632,0.347774714455
3.01632,3.07916,0.341121495327
3.07916,3.142,0.333601609658
