Left boundary,Right boundary,S/(B+S)
0.0,0.03,0.573112531118
0.03,0.06,0.0
0.06,0.09,0.0
0.09,0.12,0.0
0.12,0.15,0.0
0.15,0.18,0.0
0.18,0.21,0.0
0.21,0.24,0.0
0.24,0.27,0.0
0.27,0.3,0.0
0.3,0.33,0.0
0.33,0.36,0.0
0.36,0.39,0.0
0.39,0.42,0.0
0.42,0.45,0.0
0.45,0.48,0.0
0.48,0.51,0.0
0.51,0.54,0.0
0.54,0.57,0.0
0.57,0.6,0.0
0.6,0.63,0.0
0.63,0.66,0.0
0.66,0.69,0.0
0.69,0.72,0.0
0.72,0.75,0.0
0.75,0.78,0.0
0.78,0.81,0.0
0.81,0.84,0.0
0.84,0.87,0.0
0.87,0.9,0.0
0.9,0.93,0.0
0.93,0.96,0.0
0.96,0.99,0.0
0.99,1.02,0.608770745341
1.02,1.05,0.0
1.05,1.08,0.0
1.08,1.11,0.0
1.11,1.14,0.0
1.14,1.17,0.0
1.17,1.2,0.0
1.2,1.23,0.0
1.23,1.26,0.0
1.26,1.29,0.0
1.29,1.32,0.0
1.32,1.35,0.0
1.35,1.38,0.0
1.38,1.41,0.0
1.41,1.44,0.0
1.44,1.47,0.0
1.47,1.5,0.0
1.5,1.53,0.0
1.53,1.56,0.0
1.56,1.59,0.0
1.59,1.62,0.0
1.62,1.65,0.0
1.65,1.68,0.0
1.68,1.71,0.0
1.71,1.74,0.0
1.74,1.77,0.0
1.77,1.8,0.0
1.8,1.83,0.0
1.83,1.86,0.0
1.86,1.89,0.0
1.89,1.92,0.0
1.92,1.95,0.0
1.95,1.98,0.0
1.98,2.01,0.671505118362
2.01,2.04,0.0
2.04,2.07,0.0
2.07,2.1,0.0
2.1,2.13,0.0
2.13,2.16,0.0
2.16,2.19,0.0
2.19,2.22,0.0
2.22,2.25,0.0
2.25,2.28,0.0
2.28,2.31,0.0
2.31,2.34,0.0
2.34,2.37,0.0
2.37,2.4,0.0
2.4,2.43,0.0
2.43,2.46,0.0
2.46,2.49,0.0
2.49,2.52,0.0
2.52,2.55,0.0
2.55,2.58,0.0
2.58,2.61,0.0
2.61,2.64,0.0
2.64,2.67,0.0
2.67,2.7,0.0
2.7,2.73,0.0
2.73,2.76,0.0
2.76,2.79,0.0
2.79,2.82,0.0
2.82,2.85,0.0
2.85,2.88,0.0
2.88,2.91,0.0
2.91,2.94,0.0
2.94,2.97,0.0
2.97,3.0,0.589515120887
