Left boundary,Right boundary,S/(B+S)
-3.142,-3.07917,0.399569583931
-3.07917,-3.01634,0.392857142857
-3.01634,-2.95351,0.396366083445
-2.95351,-2.89068,0.417112299465
-2.89068,-2.82785,0.392396907216
-2.82785,-2.76502,0.411878631375
-2.76502,-2.70219,0.38612565445
-2.70219,-2.63936,0.42474916388
-2.63936,-2.57653,0.409329829172
-2.57653,-2.5137,0.392857142857
-2.5137,-2.45087,0.394702842377
-2.45087,-2.38804,0.394317394317
-2.38804,-2.32521,0.387333333333
-2.32521,-2.26238,0.40622972096
-2.26238,-2.19955,0.413201320132
-2.19955,-2.13672,0.413793103448
-2.13672,-2.07389,0.418412698413
-2.07389,-2.01106,0.424242424242
-2.01106,-1.94823,0.399045020464
-1.94823,-1.8854,0.386319218241
-1.8854,-1.82257,0.397225725095
-1.82257,-1.75974,0.397734843438
-1.75974,-1.69691,0.408510638298
-1.69691,-1.63408,0.384822028207
-1.63408,-1.57125,0.388601036269
-1.57125,-1.50842,0.395611702128
-1.50842,-1.44559,0.399608865711
-1.44559,-1.38276,0.402523659306
-1.38276,-1.31993,0.394513389941
-1.31993,-1.2571,0.442602040816
-1.2571,-1.19427,0.424184261036
-1.19427,-1.13144,0.410150891632
-1.13144,-1.06861,0.406859448554
-1.06861,-1.00578,0.409210526316
-1.00578,-0.94295,0.395703395703
-0.94295,-0.88012,0.377892030848
-0.88012,-0.81729,0.380290587492
-0.81729,-0.75446,0.414004078858
-0.75446,-0.69163,0.408396946565
-0.69163,-0.6288,0.396907216495
-0.6288,-0.56597,0.407792207792
-0.56597,-0.50314,0.40105890139
-0.50314,-0.44031,0.395711500975
-0.44031,-0.37748,0.379605263158
-0.37748,-0.31465,0.407979407979
-0.31465,-0.25182,0.396879240163
-0.25182,-0.18899,0.393674293405
-0.18899,-0.12616,0.396116504854
-0.12616,-0.06333,0.399168399168
-0.06333,-0.0005,0.383344803854
-0.0005,0.06233,0.391594396264
0.06233,0.12516,0.403215003349
0.12516,0.18799,0.410751206065
0.18799,0.25082,0.391095890411
0.25082,0.31365,0.403361344538
0.31365,0.37648,0.392103471749
0.37648,0.43931,0.407786885246
0.43931,0.50214,0.401734104046
0.50214,0.56497,0.417730020148
0.56497,0.6278,0.39239646979
0.6278,0.69063,0.407138136153
0.69063,0.75346,0.392950391645
0.75346,0.81629,0.396699669967
0.81629,0.87912,0.391509433962
0.87912,0.94195,0.402689313517
0.94195,1.00478,0.388038942976
1.00478,1.06761,0.410207939509
1.06761,1.13044,0.386515353805
1.13044,1.19327,0.379928315412
1.19327,1.2561,0.394165535957
1.2561,1.31893,0.389349930844
1.31893,1.38176,0.385327164574
1.38176,1.44459,0.393296853625
1.44459,1.50742,0.412601626016
1.50742,1.57025,0.404197698037
1.57025,1.63308,0.417222963952
1.63308,1.69591,0.407177363699
1.69591,1.75874,0.402387640449
1.75874,1.82157,0.38683127572
1.82157,1.8844,0.400798934754
1.8844,1.94723,0.392156862745
1.94723,2.01006,0.411157024793
2.01006,2.07289,0.407973421927
2.07289,2.13572,0.401302931596
2.13572,2.19855,0.394105551748
2.19855,2.26138,0.4012137559
2.26138,2.32421,0.382068965517
2.32421,2.38704,0.403986710963
2.38704,2.44987,0.395427034297
2.44987,2.5127,0.413886997958
2.5127,2.57553,0.398293963255
2.57553,2.63836,0.432262129805
2.63836,2.70119,0.385296119809
2.70119,2.76402,0.393527508091
2.76402,2.82685,0.407534246575
2.82685,2.88968,0.415533980583
2.88968,2.95251,0.386394557823
2.95251,3.01534,0.425818882466
3.01534,3.07817,0.414315209911
3.07817,3.141,0.404371584699
