Left boundary,Right boundary,S/(B+S)
-4.5,-4.41,0.724489795918
-4.41,-4.32,0.78125
-4.32,-4.23,0.751479289941
-4.23,-4.14,0.79347826087
-4.14,-4.05,0.747933884298
-4.05,-3.96,0.765342960289
-3.96,-3.87,0.781538461538
-3.87,-3.78,0.751428571429
-3.78,-3.69,0.751756440281
-3.69,-3.6,0.754189944134
-3.6,-3.51,0.744718309859
-3.51,-3.42,0.711507293355
-3.42,-3.33,0.728155339806
-3.33,-3.24,0.711143695015
-3.24,-3.15,0.726937269373
-3.15,-3.06,0.713114754098
-3.06,-2.97,0.716981132075
-2.97,-2.88,0.711475409836
-2.88,-2.79,0.696564885496
-2.79,-2.7,0.692582663092
-2.7,-2.61,0.686098654709
-2.61,-2.52,0.681388012618
-2.52,-2.43,0.66103202847
-2.43,-2.34,0.689567430025
-2.34,-2.25,0.671666666667
-2.25,-2.16,0.66802278275
-2.16,-2.07,0.64953271028
-2.07,-1.98,0.661227661228
-1.98,-1.89,0.649492017417
-1.89,-1.8,0.630819672131
-1.8,-1.71,0.635775862069
-1.71,-1.62,0.624831309042
-1.62,-1.53,0.638472032742
-1.53,-1.44,0.631724137931
-1.44,-1.35,0.636067708333
-1.35,-1.26,0.613961813842
-1.26,-1.17,0.60915275201
-1.17,-1.08,0.608695652174
-1.08,-0.99,0.6063893912
-0.99,-0.9,0.613956105796
-0.9,-0.81,0.609848484848
-0.81,-0.72,0.605339524086
-0.72,-0.63,0.600799543118
-0.63,-0.54,0.597820163488
-0.54,-0.45,0.595684270301
-0.45,-0.36,0.595682613769
-0.36,-0.27,0.596540178571
-0.27,-0.18,0.592172433352
-0.18,-0.09,0.599514563107
-0.09,0.0,0.589100817439
0.0,0.09,0.60092272203
0.09,0.18,0.608060747664
0.18,0.27,0.600734843846
0.27,0.36,0.591954022989
0.36,0.45,0.597023153252
0.45,0.54,0.601530311948
0.54,0.63,0.608130081301
0.63,0.72,0.588168373151
0.72,0.81,0.600909607732
0.81,0.9,0.60103626943
0.9,0.99,0.605769230769
0.99,1.08,0.611638203669
1.08,1.17,0.616
1.17,1.26,0.623188405797
1.26,1.35,0.631319358816
1.35,1.44,0.61231884058
1.44,1.53,0.617763157895
1.53,1.62,0.637362637363
1.62,1.71,0.634216177523
1.71,1.8,0.645409950946
1.8,1.89,0.643670462157
1.89,1.98,0.646350639579
1.98,2.07,0.655538694992
2.07,2.16,0.658631415241
2.16,2.25,0.664160401003
2.25,2.34,0.684828164292
2.34,2.43,0.69652173913
2.43,2.52,0.67610619469
2.52,2.61,0.677013422819
2.61,2.7,0.675062972292
2.7,2.79,0.69756097561
2.79,2.88,0.693486590038
2.88,2.97,0.693430656934
2.97,3.06,0.703143189756
3.06,3.15,0.718106995885
3.15,3.24,0.729381443299
3.24,3.33,0.719273743017
3.33,3.42,0.731748726655
3.42,3.51,0.747714808044
3.51,3.6,0.75234521576
3.6,3.69,0.744421906694
3.69,3.78,0.773269689737
3.78,3.87,0.766871165644
3.87,3.96,0.755485893417
3.96,4.05,0.758490566038
4.05,4.14,0.777777777778
4.14,4.23,0.777777777778
4.23,4.32,0.787234042553
4.32,4.41,0.743119266055
4.41,4.5,0.835294117647
